name;calories;fat;carbohydrate;protein
Aceite de algodón;884.32;100.0;0.0;0.0
Aceite de cacahuete;883.44;99.9;0.0;0.0
Aceite de coco;884.32;100.0;0.0;0.0
Aceite de colza;884.32;100.0;0.0;0.0
Aceite de germen de trigo;883.44;99.9;0.0;0.0
Aceite de girasol;883.44;99.9;0.0;0.0
Aceite de grano de uva;883.44;99.9;0.0;0.0
Aceite de hígado de bacalao;883.44;99.9;0.0;0.0
Aceite de lino;884.32;100.0;0.0;0.0
Aceite de nuez;882.47;99.7908;0.0;0.0
Aceite de oliva;883.44;99.9;0.0;0.0
Aceite de oliva virgen extra;884.32;100.0;0.0;0.0
Aceite de oliva virgen extra, producción ecologica;884.32;100.0;0.0;0.0
Aceite de palma;884.32;100.0;0.0;0.0
Aceite de sésamo;884.32;100.0;0.0;0.0
Aceite de soja;884.23;99.99;0.0;0.0
Aceituna;119.89;12.5;1.3;1.0
Aceituna negra, con hueso;287.91;29.8;2.0;4.0
Acelga, cruda;21.27;0.2;2.1;2.7
Acelga, en conserva;17.37;0.08;1.8;2.3
Acelgas, hervidas;28.92;0.39;1.9;4.37
Achicoria, cruda;18.71;0.6;0.5;2.8
Agua de la red;0.0;0.0;0.0;0.0
Agua mineral, mineralización debil;0.0;0.0;0.0;0.0
Agua, con gas, embotellada;0.0;0.0;0.0;0.0
Aguacate;136.19;12.0;1.5;0.4
Aguacate congelado;223.26;23.5;1.9;0.4
Aguardiente;235.66;0.0;0.0;0.0
Ajo;116.77;0.23;3.9375;24.3
Ajo, en polvo;369.21;0.73;16.55;72.73
Ajo, frito;101.39;0.59;7.7;15.97
Albahaca;177.0;3.98;14.4;20.5
Albaricoque;41.85;0.0;0.8;9.5
Albondigas en conserva;141.21;9.72;6.8;6.8
Alcachofa, cruda;22.73;0.2;2.9;2.26
Alcachofas en conserva;18.07;0.16;2.9;1.2
Alcaparra;25.73;0.86;2.36;2.1
Alioli;781.79;86.89;0.46;2.84
Almeja;47.9;1.61;10.7;0.0
Almejas en conserva;80.45;0.4;17.43;1.5
Almendra, cruda;586.19;45.22;19.1333;6.2038
Almendra, cruda, con cáscara;586.41;54.1;21.22;5.36
Almendra, frita, salada;590.37;55.9623;19.0;4.5
Almendra, tostada;587.93;52.93;22.9;6.6
Almidón de arroz;348.45;0.0;0.76;85.0
Almidón de maíz;372.46;0.0;0.26;91.3
Almidón de trigo;352.7;0.0;0.4;86.1
Altramuz;397.16;9.74;36.17;40.38
Alubia blanca, en conserva;93.11;0.2375;6.7;15.7
Alubia blanca, seca, cruda;271.35;1.3425;22.225;41.6364
Alubia negra, seca, remojada, hervida;91.67;0.2125;8.4;13.7
Anacardo, crudo;574.31;43.1;17.5;32.0
Anchoas en aceite vegetal;203.25;9.71;28.89;0.0
Anguila, al horno;222.07;14.2222;23.7;0.0
Anguila, cruda;218.43;15.525;19.97;0.0
Anguila, hervida;196.29;12.7778;20.5;0.0
Angula, cruda;212.14;16.5;16.3;0.0
Anís, seco;263.98;0.0;0.0;1.0
Aperitivos de trigo;507.36;25.9;10.3;58.2
Apio, crudo;10.64;0.1;0.9;1.5
Apio, en conserva en salmuera;8.53;0.0;0.8;1.3
Arandano;32.43;0.6;0.625;6.05
Arenque, ahumado;252.63;13.9;23.0;0.0
Arenque, salado;299.0;26.0;17.0;0.0
Arroz;385.83;0.9;7.0;86.0
Arroz con leche;91.54;1.3;3.3;16.4
Arroz hinchado, para el desayuno, enriquecido;387.24;0.6;6.3;87.7
Arroz integral, crudo;384.11;2.63529;7.5;81.3
Arroz integral, hervido;111.57;0.9;2.6;22.9
Arroz, hervido;391.82;1.66;7.54;85.28
Atún en aceite de oliva isabel;179.25;8.08;26.53;0.0
Atun en aceite vegetal;203.75;12.1;23.81;0.0
Atún en escabeche;100.79;0.6;23.5;0.0
Atún, al horno;189.22;7.88889;29.4;0.0
Atún, al natural;100.79;0.6;23.5;0.0
Atún, crudo;118.57;3.3;22.0;0.0
Atún, plancha;199.57;12.0;23.0;0.0
Avellana;653.0;56.25;12.009;10.5
Avellana, cruda, con cáscara;636.2;61.6;12.009;10.5
Avena, cruda;399.07;6.9;16.9;66.3
Avestruz, solomillo, crudo;114.13;2.95;21.67;0.0
Azafrán;348.37;5.9;11.4;61.5
Azúcar blanca;406.31;0.0;0.0;100.0
Azúcar, moreno;396.56;0.0;0.0;97.6
Bacaladilla;76.89;0.7;17.4;0.0
Bacalao, ahumado;79.22;0.55;18.3;0.0
Bacalao, crudo;82.79;1.0;18.2;0.0
Bacalao, fresco, al horno;99.14;1.05714;22.1;0.0
Bacalao, frito;75.14;0.7;16.97;0.0
Bacalao, salado, crudo;320.21;1.75;75.0;0.0
Bacalao, salado, remojado, crudo;109.18;0.4;26.0;0.0
Bacón, ahumado, a la parrilla;290.51;22.1;23.4;0.0
Bacon, crudo, con grasa separable;544.2;57.5;8.7;0.09
Bambú, crudo;34.35;0.3;2.6;5.2
Barra chocolate, tipo "bounty";489.58;26.6;4.6;58.0
